Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	8.038.620
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	8.049.647
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	7.972.485
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	7.822.051
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	7.685.122
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	7.999.245
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	7.733.905
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	7.307.188
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	7.061.848
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	6.924.952
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	6.602.912
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	6.529.175
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	6.495.321
Total Nacional	04 Balears, Illes	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	6.162.891
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	17.432.194
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	14.955.739
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	11.345.907
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	9.019.269
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	15.012.371
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	14.870.156
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	14.409.607
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	13.515.194
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	12.838.466
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	12.202.717
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	12.064.044
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	11.981.714
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	12.244.816
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	11.736.101
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	11.690.745
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	12.239.629
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	11.877.587
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	11.356.168
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	10.720.930
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	10.552.511
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	10.203.010
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	9.792.376
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	9.272.736
Total Nacional	05 Canarias	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	8.413.563
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	3.329.847
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	2.985.153
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2021	2.530.116
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2020	2.154.211
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2019	2.771.021
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2018	2.700.612
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2017	2.607.112
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2016	2.492.495
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2015	2.439.732
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2014	2.350.956
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2013	2.368.179
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2012	2.399.167
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2011	2.489.218
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2010	2.486.991
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2009	2.532.138
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2008	2.518.431
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2007	2.392.728
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2006	2.230.844
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2005	2.115.999
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2004	2.038.124
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2003	1.898.618
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2002	1.817.976
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2001	1.736.723
Total Nacional	06 Cantabria	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2000	1.585.733
Total Nacional	07 Castilla y León	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2023 (A)	13.086.641
Total Nacional	07 Castilla y León	G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería	2022 (P)	12.033.435
