Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M12	3.178
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M11	4.334
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M10	5.724
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M09	5.644
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M08	6.459
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M07	5.596
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M06	4.325
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M05	6.101
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M04	4.263
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M03	4.771
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M02	3.346
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2024M01	3.230
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M12	3.113
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M11	3.775
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M10	5.354
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M09	5.421
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M08	6.089
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M07	6.022
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M06	4.264
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M05	5.392
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M04	4.505
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M03	3.674
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M02	2.812
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2023M01	2.755
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M12	2.856
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M11	3.195
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M10	4.679
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M09	5.072
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M08	5.385
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M07	5.139
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M06	4.623
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M05	4.079
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M04	3.585
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M03	2.564
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M02	2.526
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2022M01	1.955
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M12	2.055
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M11	2.943
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M10	4.213
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M09	3.368
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M08	3.465
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M07	2.712
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M06	1.943
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M05	1.228
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M04	1.168
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M03	561
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M02	616
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2021M01	500
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M12	564
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M11	939
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M10	1.463
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M09	1.357
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M08	2.111
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M07	1.852
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M06	546
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M05	200
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M04	0
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M03	891
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M02	3.018
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2020M01	3.393
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M12	2.536
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M11	3.939
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M10	5.911
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M09	5.444
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M08	7.718
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M07	6.416
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M06	5.542
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M05	6.402
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M04	6.411
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M03	3.826
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M02	2.967
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2019M01	3.273
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M12	3.896
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M11	4.154
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M10	6.382
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M09	5.452
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M08	7.414
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M07	6.059
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M06	4.276
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M05	5.621
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M04	5.254
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M03	3.338
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M02	3.252
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2018M01	2.547
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M12	2.589
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M11	3.373
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M10	5.086
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M09	5.406
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M08	5.377
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M07	6.050
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M06	4.320
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M05	5.020
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M04	4.389
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M03	2.862
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M02	2.851
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2017M01	2.043
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M12	2.357
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M11	2.897
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M10	4.991
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M09	5.112
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M08	5.318
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M07	5.838
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M06	4.169
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M05	3.897
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M04	3.182
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M03	2.274
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M02	2.213
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2016M01	2.115
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M12	2.387
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M11	3.202
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M10	5.110
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M09	4.615
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M08	5.035
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M07	5.940
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M06	3.261
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M05	4.722
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M04	2.990
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M03	2.332
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M02	2.449
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2015M01	2.295
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M10	4.348
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M09	4.754
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M08	3.243
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M07	3.011
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M06	3.766
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M05	4.175
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M04	3.285
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M03	2.418
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M02	1.958
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M01	1.668
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M12	1.906
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M11	2.642
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M10	4.339
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M09	4.147
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M08	3.171
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M07	3.001
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M06	3.529
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M05	5.287
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M04	3.434
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M03	2.411
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M02	1.990
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2024M01	1.418
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M12	1.917
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M11	2.654
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M10	4.057
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M09	4.184
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M08	3.216
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M07	3.088
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M06	4.107
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M05	4.808
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M04	3.438
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M03	2.280
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M02	1.379
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2023M01	1.245
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M12	1.556
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M11	2.569
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M10	4.125
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M09	3.573
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M08	3.506
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M07	3.320
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M06	3.779
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M05	4.284
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M04	3.632
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M03	1.936
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M02	1.927
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2022M01	1.514
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M12	2.046
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M11	2.333
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M10	3.965
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M09	3.206
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M08	3.431
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M07	2.803
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M06	1.441
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M05	920
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M04	504
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M03	564
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M02	231
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2021M01	390
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M12	350
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M11	291
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M10	1.137
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M09	1.430
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M08	2.068
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M07	1.819
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M06	160
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M05	62
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M04	0
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M03	970
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M02	1.485
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2020M01	2.011
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M12	1.955
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M11	2.529
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M10	4.224
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M09	4.413
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M08	4.106
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M07	3.946
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M06	4.778
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M05	5.230
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M04	3.218
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M03	2.547
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M02	1.666
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2019M01	1.606
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M12	1.937
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M11	2.812
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M10	4.105
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M09	4.034
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M08	3.694
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M07	4.656
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M06	3.277
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M05	3.978
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M04	2.593
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M03	2.295
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M02	1.430
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2018M01	1.515
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M12	1.727
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M11	1.753
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M10	4.065
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M09	4.393
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M08	3.536
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M07	3.490
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M06	3.507
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M05	4.457
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M04	3.122
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M03	2.025
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M02	1.371
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2017M01	1.635
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M12	1.494
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M11	1.995
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M10	3.603
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M09	3.815
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M08	3.623
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M07	3.266
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M06	3.376
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M05	3.193
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M04	2.824
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M03	2.237
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M02	1.273
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2016M01	1.249
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2015M12	1.519
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2015M11	1.783
