Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M05	1.001.404
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M04	890.205
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M03	585.642
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M02	426.890
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2017M01	395.419
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M12	370.673
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M11	441.278
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M10	880.798
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M09	973.226
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M08	874.216
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M07	830.845
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M06	833.009
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M05	930.155
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M04	787.261
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M03	581.689
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M02	383.563
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2016M01	337.184
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M12	330.621
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M11	393.427
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M10	813.348
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M09	886.033
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M08	810.848
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M07	708.513
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M06	753.209
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M05	859.037
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M04	698.076
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M03	456.357
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M02	348.713
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2015M01	294.711
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M10	34.028
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M09	42.163
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M08	45.998
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M07	44.268
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M06	36.043
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M05	32.422
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M04	27.097
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M03	16.484
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M02	12.805
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M01	10.790
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M12	13.619
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M11	13.987
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M10	31.183
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M09	43.074
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M08	46.521
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M07	45.070
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M06	36.583
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M05	36.378
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M04	22.167
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M03	18.910
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M02	15.721
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2024M01	11.580
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M12	12.125
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M11	13.589
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M10	28.369
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M09	40.404
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M08	42.708
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M07	42.142
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M06	32.878
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M05	30.830
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M04	20.799
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M03	14.950
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M02	11.510
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2023M01	11.329
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2022M12	10.226
