Tipo de dato	Agregados macroeconómicos: Nivel 1	Agregados macroeconómicos: Nivel 2	Niveles y tasas	Periodo	Total
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2025T2	44.503
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2025T1	44.289
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T4	43.334
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T3	42.835
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T2	43.316
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2024T1	43.411
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T4	40.804
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T3	41.078
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T2	40.405
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2023T1	41.733
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T4	39.571
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T3	38.373
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T2	37.333
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2022T1	36.453
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T4	35.553
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T3	35.257
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T2	33.843
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2021T1	34.413
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T4	33.593
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T3	32.758
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T2	25.204
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2020T1	31.001
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T4	34.161
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T3	33.575
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T2	33.267
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2019T1	33.103
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T4	32.779
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T3	32.662
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T2	32.768
Datos ajustados de estacionalidad y calendario	VABpb Industria (B-E, CNAE 2009)	VABpb Industria. Industria manufacturera (C, CNAE 2009)	Dato base	2018T1	32.579
