Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	26.770.420
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	27.892.127
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	26.749.452
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	24.935.415
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	22.962.215
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	21.228.501
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	19.867.979
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	18.912.404
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	17.867.937
Total Nacional	04 Balears, Illes	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	16.505.108
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	54.193.658
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	48.551.111
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	41.407.275
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	37.587.399
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	45.766.832
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	44.609.266
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	43.035.839
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	40.979.670
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	39.636.569
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	38.312.937
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	38.066.975
Total Nacional	05 Canarias	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	38.239.602
